IdAmicoFrom,IdAmicoTo
17850,14550
14550,17850
17850,17425
17425,17850
17850,13853
13853,17850
17850,12757
12757,17850
13047,17534
17534,13047
13047,16763
16763,13047
13047,13174
13174,13047
13047,15981
15981,13047
12583,18119
18119,12583
12583,13583
13583,12583
13748,18172
18172,13748
13748,12553
12553,13748
13748,18069
18069,13748
15100,16037
16037,15100
15100,13246
13246,15100
15100,15146
15146,15100
15100,15732
15732,15100
15100,13527
13527,15100
15100,16441
16441,15100
15100,13502
13502,15100
15291,15888
15888,15291
15291,17949
17949,15291
15291,12646
12646,15291
15291,13319
13319,15291
15291,17350
17350,15291
15291,16748
16748,15291
15291,15734
15734,15291
15291,14963
14963,15291
14688,17157
17157,14688
14688,15475
15475,14688
14688,17510
17510,14688
17809,17848
17848,17809
17809,16052
16052,17809
17809,12510
12510,17809
17809,14443
14443,17809
17809,16912
16912,17809
17809,18218
18218,17809
17809,15775
15775,17809
17809,15373
15373,17809
15311,16728
16728,15311
15311,12913
12913,15311
15311,13890
13890,15311
15311,17708
17708,15311
15311,17022
17022,15311
14527,13182
13182,14527
14527,12901
12901,14527
14527,12693
12693,14527
14527,14171
14171,14527
14527,17171
17171,14527
14527,14890
14890,14527
14527,17100
17100,14527
14527,18104
18104,14527
16098,17977
17977,16098
16098,16214
16214,16098
18074,16349
16349,18074
18074,13761
13761,18074
17420,12515
12515,17420
17420,17410
17410,17420
16029,17341
17341,16029
16029,14305
14305,16029
16029,14241
14241,16029
16029,16892
16892,16029
16250,17299
17299,16250
12431,12724
12724,12431
12431,12930
12930,12431
17511,15422
15422,17511
17511,15275
15275,17511
17511,13962
13962,17511
17511,12957
12957,17511
17511,14348
14348,17511
17548,16376
16376,17548
17548,13404
13404,17548
17548,17954
17954,17548
13705,14473
14473,13705
13705,16361
16361,13705
13747,15598
15598,13747
13747,13052
13052,13747
13747,14973
14973,13747
13747,13666
13666,13747
13747,17765
17765,13747
13408,17333
17333,13408
13408,15009
15009,13408
13408,16360
16360,13408
13408,12974
12974,13408
13767,17152
17152,13767
13767,17730
17730,13767
17924,16116
16116,17924
17924,15667
15667,17924
13448,16207
16207,13448
13448,18232
18232,13448
13448,16814
16814,13448
15862,16110
16110,15862
15862,15434
15434,15862
15862,15854
15854,15862
15862,15025
15025,15862
15862,15399
15399,15862
15862,12617
12617,15862
15513,13583
13583,15513
15513,16265
16265,15513
12791,15330
15330,12791
12791,18042
18042,12791
12791,13610
13610,12791
12791,18096
18096,12791
12791,16612
16612,12791
16218,17727
17727,16218
16218,16450
16450,16218
16218,15787
15787,16218
16218,13323
13323,16218
16218,17720
17720,16218
14045,13255
13255,14045
14045,16842
16842,14045
14045,12644
12644,14045
14045,18085
18085,14045
14307,14327
14327,14307
14307,14085
14085,14307
14307,14662
14662,14307
17908,12857
12857,17908
17908,12415
12415,17908
17908,13225
13225,17908
17908,15880
15880,17908
17908,12908
12908,17908
17908,15174
15174,17908
17920,12667
12667,17920
17920,15797
15797,17920
17920,13524
13524,17920
17920,16309
16309,17920
17920,16441
16441,17920
17920,17503
17503,17920
17920,14806
14806,17920
12838,15027
15027,12838
12838,13880
13880,12838
13255,18077
18077,13255
13255,17349
17349,13255
16583,15386
15386,16583
16583,14618
14618,16583
16583,16866
16866,16583
18085,14470
14470,18085
13758,16761
16761,13758
13758,18184
18184,13758
13758,15021
15021,13758
13694,12993
12993,13694
13694,15097
15097,13694
13694,13928
13928,13694
13694,18121
18121,13694
13694,16345
16345,13694
13694,17499
17499,13694
15983,16928
16928,15983
15983,13803
13803,15983
14849,15497
15497,14849
14849,15035
15035,14849
14849,12458
12458,14849
14849,12700
12700,14849
14849,17672
17672,14849
17968,16162
16162,17968
17968,12922
12922,17968
17968,18190
18190,17968
17968,16898
16898,17968
17968,17624
17624,17968
17968,13806
13806,17968
17968,14794
14794,17968
16210,14196
14196,16210
16210,16426
16426,16210
16210,15463
15463,16210
17897,15203
15203,17897
17897,12890
12890,17897
17897,13487
13487,17897
17897,12413
12413,17897
17377,13486
13486,17377
17377,17002
17002,17377
17377,14206
14206,17377
16552,15220
15220,16552
16552,17735
17735,16552
16552,16112
16112,16552
16552,16871
16871,16552
17181,13032
13032,17181
17181,14499
14499,17181
17181,14162
14162,17181
17181,17789
17789,17181
17181,13798
13798,17181
17181,15656
15656,17181
17951,14716
14716,17951
14729,13227
13227,14729
14729,13831
13831,14729
14729,12380
12380,14729
12748,14359
14359,12748
12748,13404
13404,12748
12748,16720
16720,12748
12748,17863
17863,12748
12748,15192
15192,12748
12748,15740
15740,12748
12748,12359
12359,12748
15012,13008
13008,15012
15012,15774
15774,15012
15012,18174
18174,15012
12868,16665
16665,12868
12868,14565
14565,12868
12868,15019
15019,12868
12868,17019
17019,12868
12868,14082
14082,12868
12868,15839
15839,12868
17572,17739
17739,17572
17572,16773
16773,17572
17572,17231
17231,17572
14078,13351
13351,14078
14078,17542
17542,14078
14078,18164
18164,14078
14078,13452
13452,14078
14078,16321
16321,14078
14078,16500
16500,14078
14001,14656
14656,14001
14001,13013
13013,14001
14001,17604
17604,14001
14001,17885
17885,14001
14001,18030
18030,14001
14001,12937
12937,14001
14001,13644
13644,14001
14001,16903
16903,14001
12662,12945
12945,12662
12662,14236
14236,12662
12662,13350
13350,12662
12662,17650
17650,12662
12662,17153
17153,12662
12662,18280
18280,12662
12662,14426
14426,12662
15525,14462
14462,15525
15525,17371
17371,15525
15525,15032
15032,15525
15525,15410
15410,15525
15525,14180
14180,15525
14237,16936
16936,14237
14237,12567
12567,14237
14237,14698
14698,14237
14237,17483
17483,14237
14237,15525
15525,14237
14237,16895
16895,14237
14237,12901
12901,14237
14237,15367
15367,14237
17905,14544
14544,17905
17905,12667
12667,17905
15485,13799
13799,15485
15485,13736
13736,15485
15485,13877
13877,15485
15485,14076
14076,15485
15485,15967
15967,15485
12433,13668
13668,12433
12433,12431
12431,12433
12433,13925
13925,12433
12433,14377
14377,12433
12433,18120
18120,12433
12433,16092
16092,12433
12433,14138
14138,12433
16955,16885
16885,16955
15350,12981
12981,15350
15605,16143
16143,15605
15605,14569
14569,15605
15605,13740
13740,15605
15605,16146
16146,15605
15605,15269
15269,15605
15605,18072
18072,15605
15605,17006
17006,15605
15605,17297
17297,15605
18144,17608
17608,18144
18144,12648
12648,18144
18144,14021
14021,18144
18144,15522
15522,18144
18144,12601
12601,18144
18144,14523
14523,18144
18144,16992
16992,18144
18144,17547
17547,18144
15922,12753
12753,15922
15922,12683
12683,15922
15922,17236
17236,15922
15922,16563
16563,15922
14594,13562
13562,14594
14594,15660
15660,14594
14594,15506
15506,14594
14594,18120
18120,14594
14594,12474
12474,14594
15165,13483
13483,15165
14911,13709
13709,14911
14911,18053
18053,14911
14911,17338
17338,14911
14911,17162
17162,14911
14911,15670
15670,14911
14911,15078
15078,14911
16456,12722
12722,16456
16456,15590
15590,16456
16456,14672
14672,16456
16456,14727
14727,16456
16456,17408
17408,16456
17841,18241
18241,17841
17841,17884
17884,17841
17841,14418
14418,17841
12472,12820
12820,12472
12472,12811
12811,12472
12472,18259
18259,12472
12472,17564
17564,12472
12472,17787
17787,12472
12472,14117
14117,12472
17346,16483
16483,17346
17346,14195
14195,17346
17346,13751
13751,17346
17346,15748
15748,17346
17346,14463
14463,17346
17643,16185
16185,17643
17643,16366
16366,17643
17643,14997
14997,17643
17643,13137
13137,17643
17643,16957
16957,17643
17643,14584
14584,17643
17643,17579
17579,17643
17873,15963
15963,17873
17873,13301
13301,17873
17873,16235
16235,17873
13093,12883
12883,13093
12921,13349
13349,12921
13468,15608
15608,13468
13468,17181
17181,13468
