CustomerID,Country,Sesso
17850,United Kingdom,male
13047,United Kingdom,female
12583,France,female
13748,United Kingdom,female
15100,United Kingdom,male
15291,United Kingdom,male
14688,United Kingdom,female
17809,United Kingdom,female
15311,United Kingdom,male
14527,United Kingdom,female
16098,United Kingdom,female
18074,United Kingdom,male
17420,United Kingdom,male
16029,United Kingdom,female
16250,United Kingdom,female
12431,Australia,female
17511,United Kingdom,female
17548,United Kingdom,female
13705,United Kingdom,male
13747,United Kingdom,female
13408,United Kingdom,male
13767,United Kingdom,male
17924,United Kingdom,male
13448,United Kingdom,female
15862,United Kingdom,male
15513,United Kingdom,female
12791,Netherlands,female
16218,United Kingdom,female
14045,United Kingdom,female
14307,United Kingdom,female
17908,United Kingdom,male
17920,United Kingdom,male
12838,United Kingdom,male
13255,United Kingdom,female
16583,United Kingdom,female
18085,United Kingdom,female
13758,United Kingdom,male
13694,United Kingdom,male
15983,United Kingdom,female
14849,United Kingdom,male
17968,United Kingdom,male
16210,United Kingdom,female
17897,United Kingdom,male
17377,United Kingdom,male
16552,United Kingdom,female
17181,United Kingdom,male
17951,United Kingdom,male
14729,United Kingdom,male
12748,United Kingdom,male
15012,United Kingdom,female
12868,United Kingdom,female
17572,United Kingdom,female
14078,United Kingdom,female
14001,United Kingdom,male
12662,Germany,male
15525,United Kingdom,female
14237,United Kingdom,female
17905,United Kingdom,male
15485,United Kingdom,male
12433,Norway,female
16955,United Kingdom,male
15350,United Kingdom,female
15605,United Kingdom,female
18144,United Kingdom,male
15922,United Kingdom,male
14594,United Kingdom,male
15165,United Kingdom,female
14911,EIRE,male
16456,United Kingdom,female
17841,United Kingdom,female
12472,Germany,female
17346,United Kingdom,female
17643,United Kingdom,female
17873,United Kingdom,female
13093,United Kingdom,female
12921,United Kingdom,female
13468,United Kingdom,female
17760,United Kingdom,male
16928,United Kingdom,male
16048,United Kingdom,male
16274,United Kingdom,female
14496,United Kingdom,female
14696,United Kingdom,female
16539,United Kingdom,male
17025,United Kingdom,male
13777,United Kingdom,female
17690,United Kingdom,female
12947,United Kingdom,male
17460,United Kingdom,male
18229,United Kingdom,male
14142,United Kingdom,male
17069,United Kingdom,female
13065,United Kingdom,male
14606,United Kingdom,female
16835,United Kingdom,male
15235,United Kingdom,male
13576,United Kingdom,male
18011,United Kingdom,male
13090,United Kingdom,male
15694,United Kingdom,male
14741,United Kingdom,male
13715,United Kingdom,male
14092,United Kingdom,female
17732,United Kingdom,female
12855,United Kingdom,female
15752,United Kingdom,female
17855,United Kingdom,male
14047,United Kingdom,female
17925,United Kingdom,female
13941,United Kingdom,female
17017,United Kingdom,female
14135,United Kingdom,female
13108,United Kingdom,female
12471,Germany,male
15601,United Kingdom,male
13418,United Kingdom,male
14766,United Kingdom,male
15658,United Kingdom,male
14388,United Kingdom,female
14901,United Kingdom,female
18041,United Kingdom,male
15955,United Kingdom,male
15070,United Kingdom,male
16244,United Kingdom,female
15111,United Kingdom,female
14390,United Kingdom,male
16546,United Kingdom,female
15260,United Kingdom,male
13305,United Kingdom,female
14491,United Kingdom,female
14060,United Kingdom,female
15923,United Kingdom,male
16752,United Kingdom,male
17287,United Kingdom,male
15363,United Kingdom,male
12915,United Kingdom,female
15544,United Kingdom,female
15738,United Kingdom,male
16042,United Kingdom,male
17381,United Kingdom,female
15827,United Kingdom,male
14180,United Kingdom,male
13117,United Kingdom,male
16916,United Kingdom,male
17964,United Kingdom,male
